Fold,Accuracy,Precision,Recall,F1,Cohen's Kappa
1,85.5,85.62662443241825,85.49999999999999,85.37773333230861,83.88888888888889
2,91.16666666666666,91.17836615374814,91.16666666666666,90.93707289733679,90.18518518518518
3,86.64440734557596,86.7202473571559,86.65536723163841,86.5565098848624,85.16050315556079
4,86.97829716193655,87.26370515537967,86.98305084745762,87.01159424565816,85.53117693510676
5,87.47913188647746,87.49617255375016,87.48587570621469,87.36031063848424,86.08788554440729
